Series,Subseries,Box,Folder,Title,Structured Date,Date Qualifier,Start Date,End Date,Range Qualifier,Textual Date,Physical Description,Reel,First Frame,Last Frame,Frames,Title File,First File,Last File,Files,Processing Note,Contents
1,,1,1,Cleveland Abbe,1903,,,,,,,1,20,22,2,21,22,23,2,,
1,,1,2,Charles G. Abbot,,,1902,1937,,,"1.5""",1,23,370,347,24,25,372,348,,
1,,1,3,John J. Abel,,,1915,1936,,,".5""",1,371,438,67,373,374,440,67,,
1,,1,4,Giorgio Abetti,,,1909,1935,,,"2.5""",1,439,1137,698,441,442,1139,698,,
1,,1,5,J. H. Abraham,,,1902,1904,,,,1,1138,1143,5,1140,1141,1145,5,,
1,,1,6,Comfort A. Adams,,,1919,1920,,,,1,1144,1158,14,1146,1147,1160,14,,
1,,1,7,Edward Dean Adams,,,1920,1928,,,,1,1159,1196,37,1161,1162,1198,37,,
1,,1,8,Edward F. Adams,1938,,,,,,,1,1197,1199,1,1199,1200,1200,1,,
1,,2,1,Walter S. Adams,,,1904,1937,,,"3""",2,20,645,625,21,22,651,630,,
1,,2,2,Alexander Agassiz,,,1904,1910,,,".25""",2,646,703,57,652,653,709,57,,
1,,2,3,"Agriculture, Secretary of",,,1916,1928,,,,2,704,723,19,710,711,729,19,,
1,,2,4,R. G. Aitken,,,1905,1935,,,"1""",2,724,841,117,730,731,848,118,,
1,,2,5,Lawrence Aller,1931,,,,,,,2,842,845,3,849,850,852,3,,
1,,2,6,J. S. Ames,,,1900,1917,,,".25""",2,846,882,36,853,854,889,36,,
1,,2,7,Loring B. Andrews,1936,,,,,,,2,883,897,14,890,891,904,14,,
1,,3,1,J. A. Anderson,,,1928,1935,,,"1""",2,898,1081,183,905,906,1089,184,,
1,,3,2,James R. Angell,,,1901,1924,,,"1.5""",2,1082,1331,249,1090,1091,1341,251,,
1,,3,3,E. M. Antoniadi,,,1924,1930,,,,2,1332,1340,7,1342,1343,1349,7,,
1,,3,4,Henry E. Armstrong,,,,,,undated,,3,20,22,2,21,22,22,1,,
1,,3,5,Trevor Arnett,,,1904,1936,,,,3,23,197,174,23,24,199,176,,
1,,3,6,Svante Arrhenius,,,1904,1926,,,,3,198,218,20,200,201,220,20,,
1,,3,7,Attwill,,,,,,undated,,3,219,220,1,221,222,222,1,,
1,,3,8,A. Auwers,,,1912,1915,,,,3,221,229,8,223,224,231,8,,
1,,3,9,Edward Ayer,1899,,,,,,,3,230,233,3,232,233,235,3,,
1,,3,10,Allan H. Babcock,1910,,,,,,,3,234,236,2,236,237,238,2,,
1,,3,11,Harold D. Babcock,,,1925,1933,,,,3,237,259,22,239,240,261,22,,
1,,3,12,O. Backlund,1904,,,,,,,3,260,266,6,262,263,268,6,,
1,,3,13,Francis H. Bacon Company,1918,,,,,,,3,267,272,5,269,270,274,5,,
1,,3,14,L. H. Baekelund,,,1916,1936,,,,3,273,282,9,275,276,284,9,,
1,,3,15,I. W. Bailey,1917,,,,,,,3,283,288,5,285,286,290,5,,
1,,3,16,M. B. Baillaud,,,1908,1920,,,,3,289,305,16,291,292,307,16,,
1,,3,17,C. H. Collins Baker,,,1932,1933,,,,3,306,323,17,308,309,325,17,,
1,,3,18,William C. Baker,,,1915,1916,,,,3,324,345,21,326,327,347,21,,
1,,3,19,H. G. Van de Sande Bakhuyzen,,,1915,1916,,,,3,346,388,42,348,349,390,42,,
1,,3,20,George J. Baldwin,,,1907,1908,,,,3,389,405,16,391,392,407,16,,
1,,3,21,Sir Robert Ball,,,1901,1914,,,,3,406,451,45,408,409,453,45,,
1,,3,22,W. P. Bancroft,,,1919,1920,,,,3,452,456,4,454,455,458,4,,
1,,3,23,Llewellys F. Barker,,,1902,1924,,,,3,457,466,9,459,460,468,9,,
1,,3,24,E. E. Barnard,,,1898,1924,,,,3,467,645,178,469,470,647,178,,
1,,4,1,E. C. Barrett,,,1911,1936,,,"2""",3,646,887,241,648,649,889,241,,
1,,4,2,S. B. Barrett,,,1899,1935,,,".5""",3,888,992,103,890,891,993,103,,
1,,4,3,Albert L. Barrows,,,1919,1934,,,".25""",4,20,64,44,21,22,65,44,,
1,,4,4,H. Bateman,,,1916,1920,,,,4,65,84,19,66,67,85,19,,
1,,4,5,L. A. Bauer,,,1898,1926,,,".5""",4,85,175,90,86,87,176,90,,
1,,4,6,F. E. Baxandall,,,1904,1924,,,,4,176,183,7,177,178,184,7,,
1,,4,7,Belgian League of Honor,1937,,,,,,,4,184,186,2,185,186,187,2,,
1,,4,8,Alexander Graham Bell,1906,,,,,,,4,187,194,7,188,189,195,7,,
1,,4,9,Sir Hugh Bell,1916,,,,,,,4,195,199,4,196,197,200,4,,
1,,4,10,Louis Bell,1911,,,,,,,4,200,204,4,201,202,205,4,,
1,,4,11,Bell Telephone Laboratories,1930,,,,,,,4,205,206,1,206,207,207,1,,
1,,4,12,A. Belopolsky,,,1904,1933,,,,4,207,298,91,208,209,300,92,,
1,,4,13,H. Y. Benedict,1932,,,,,,,4,299,306,7,301,302,308,7,,
1,,4,14,Bickers and Company,1911,,,,,,,4,307,317,10,309,310,319,10,,
1,,4,15,Albert S. Bickmore,1903,,,,,,,4,318,323,5,320,321,325,5,,
1,,4,16,M. B. Bielski,1937,,,,,,,4,324,333,9,326,327,335,9,,
1,,4,17,Frank H. Bigelow,,,1902,1911,,,,4,334,337,3,336,337,339,3,,
1,,4,18,M. G. Bigourdan,,,1908,1927,,,,4,338,359,21,340,341,361,21,,
1,,4,19,J. S. Billings,,,1902,1909,,,,4,360,369,9,362,363,371,9,,
1,,4,20,E. W. Birge,,,1902,1919,,,,4,370,380,10,372,373,382,10,,
1,,4,21,V. Bjerknes,,,1924,1926,,,,4,381,406,25,383,384,408,25,,
1,,4,22,Pietro Blaserna,,,1909,1914,,,,4,407,414,7,409,410,416,7,,
1,,4,23,E. W. Blatchford,,,1899,1913,,,,4,415,433,18,417,418,435,18,,
1,,4,24,Mildred Bliss,1937,,,,,,,4,434,436,2,436,437,438,2,,
1,,4,25,Franz Boas,1916,,,,,,,4,437,439,2,439,440,441,2,,
1,,4,26,Vicomte Roger du Boberil,,,1912,1921,,,,4,440,452,12,442,443,454,12,,
1,,4,27,Marston T. Bogert,,,1916,1917,,,".25""",4,453,494,41,455,456,496,41,,
1,,4,28,Hamilton B. Bogue,1885,,,,,,".25""",4,495,497,2,497,498,499,2,,
1,,4,29,B. B. Boltwood,1915,,,,,,,4,498,516,18,500,501,518,18,,
1,,4,30,Lewis Boss,1902,,,,,,,4,517,549,32,519,520,551,32,,
1,,4,31,Boston University,,,,,,undated,,4,550,551,1,552,553,553,1,,
1,,4,32,William Bowie,,,1917,1931,,,,4,552,616,64,554,555,618,64,,
1,,4,33,Isaiah Bowman,,,1932,1935,,,".25""",4,617,673,56,619,620,675,56,,
1,,5,1,Dr. Th. Boveri,,,1912,1913,,,,4,674,701,27,676,677,703,27,,
1,,5,2,F. P. Brackett,,,1924,1931,,,,4,702,714,12,704,705,716,12,,
1,,5,3,W. H. Bragg,,,1929,1935,,,,4,715,718,3,717,718,720,3,,
1,,5,4,F. E. Brasch,1927,,,,,,,4,719,730,11,721,722,732,11,,
1,,5,5,J. A. Brashear,,,1897,1932,,,"2""",4,731,1023,292,733,734,1025,292,,
1,,5,6,Charles Breasted,,,1924,1942,,,".25""",5,20,63,43,21,22,64,43,,
1,,5,7,James H. Breasted,,,1897,1935,,,"4""",5,64,687,623,65,66,689,624,,
1,,6,1,Norman Bridge,,,1907,1931,,,".5""",5,688,745,57,690,691,747,57,,
1,,6,2,P. W. Bridgman,1918,,,,,,,5,746,747,1,748,749,749,1,,
1,,6,3,Robert Bridges,1929,,,,,,,5,748,749,1,750,751,751,1,,
1,,6,4,W. W. Brierly,,,1928,1935,,,".25""",5,750,788,38,752,753,790,38,,
1,,6,5,Paul Brockett,,,1913,1935,,,"2.75""",5,789,1144,355,791,792,1146,355,,
1,,6,6,E. W. Brown,,,1914,1932,,,".5""",5,1145,1217,72,1147,1148,1219,72,,
1,,6,7,G. G. Brown,1865,,,,,,".25""",5,1218,1249,31,1220,1221,1251,31,,
1,,6,8,Ada M. Browne,,,1896,1916,,,,5,1250,1262,12,1252,1253,1264,12,,
1,,6,9,Catherine and M. W. Bruce,1899,,,,,,,5,1263,1272,9,1265,1266,1274,9,,
1,,6,10,Bumpus Family,,,1899,1902,,,,5,1273,1285,11,1275,1276,1286,11,,
1,,6,11,H. A. Bumstead,,,1918,1921,,,"1""",6,20,119,99,21,22,120,99,,
1,,6,12,George K. Burgess,,,1925,1929,,,".5""",6,120,147,27,121,122,148,27,,
